amount,lifetime_value,orders_count,successful_payments,failed_payments,previous_recovery_success,contact_count,payment_method_CARD,payment_method_NETBANKING,payment_method_UPI,payment_method_WALLET,failure_reason_AUTHENTICATION_FAILED,failure_reason_BANK_DECLINED,failure_reason_BANK_TIMEOUT,failure_reason_INSUFFICIENT_FUNDS,failure_reason_NETWORK_ERROR,segment_frequent_failure,segment_high_value,segment_occasional,segment_price_sensitive,segment_reliable,segment_unresponsive,recovered
1420.26,9163.72,7,7,0,0.55,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
1248.04,7294.79,8,6,2,0.35,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1
100.0,2561.2,7,5,2,0.35,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
1221.69,7134.39,6,4,2,0.55,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1593.38,1375.38,1,1,0,0.6,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
1940.88,20403.78,9,9,0,0.75,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1
428.26,6471.79,8,7,1,0.6,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1
1221.79,13812.11,9,8,1,0.55,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
946.52,4483.0,4,3,1,0.25,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1481.21,5940.0,6,5,1,0.55,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
1278.49,5137.07,3,3,0,0.25,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
100.0,4743.99,9,4,5,0.35,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
1685.32,8353.91,6,4,2,0.35,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1350.88,5382.61,4,4,0,0.35,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1
860.87,4152.38,9,4,5,0.35,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
1005.68,15052.58,13,9,4,0.35,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
1232.06,3669.21,3,2,1,0.25,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
900.07,1897.23,2,2,0,0.6,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
230.45,1499.46,3,2,1,0.6,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
702.71,4330.88,6,4,2,0.6,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
925.21,7396.41,7,5,2,0.55,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
1889.08,10605.32,6,6,0,0.75,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1
1353.83,3295.6,3,3,0,0.6,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1
1011.91,951.44,1,1,0,0.25,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1
808.81,8462.99,7,6,1,0.55,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
436.94,3786.56,4,3,1,0.25,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
1277.09,8840.7,9,7,2,0.35,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
864.47,4580.91,6,4,2,0.35,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1216.44,5968.7,5,5,0,0.6,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1
100.0,5381.49,10,7,3,0.6,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
808.16,4392.4,5,2,3,0.35,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1750.35,7256.04,5,5,0,0.25,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
880.3,3025.66,3,2,1,0.55,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
2916.38,16216.85,7,7,0,0.75,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
1253.95,8365.32,8,7,1,0.35,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
529.57,6694.0,7,7,0,0.25,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
11940.92,48378.42,4,4,0,0.8,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
1109.4,5337.74,6,5,1,0.35,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
1922.59,17626.78,9,9,0,0.75,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
6076.04,34612.21,6,5,1,0.8,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
1149.98,4708.5,5,5,0,0.6,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
931.49,3339.46,4,3,1,0.6,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1
398.21,4857.43,10,5,5,0.35,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
6022.61,55266.9,9,8,1,0.8,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1
1930.29,3719.27,2,2,0,0.25,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
931.64,5179.75,5,5,0,0.6,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1
1823.12,3719.64,2,2,0,0.25,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1682.52,11143.81,10,10,0,0.75,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1
1086.82,4312.65,5,3,2,0.6,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
1022.06,4272.38,5,4,1,0.35,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
553.86,4602.28,6,4,2,0.35,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
918.91,3528.19,5,5,0,0.6,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
1296.29,6246.95,6,5,1,0.35,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
