customer_code,segment,lifetime_value,orders_count,successful_payments,failed_payments,previous_recovery_success,contact_count
CUST_00001,price_sensitive,5883.68,5,5,0,0.6,0
CUST_00002,reliable,13528.39,6,6,0,0.75,0
CUST_00003,reliable,10982.33,7,6,1,0.75,0
CUST_00004,reliable,3476.59,4,3,1,0.75,0
CUST_00005,high_value,54253.63,6,6,0,0.8,0
CUST_00006,price_sensitive,4585.61,7,6,1,0.6,0
CUST_00007,unresponsive,2392.73,2,2,0,0.25,0
CUST_00008,reliable,5437.59,7,5,2,0.75,0
CUST_00009,occasional,1760.85,2,1,1,0.55,0
CUST_00010,reliable,15533.53,7,7,0,0.75,0
CUST_00011,reliable,13938.75,12,12,0,0.75,0
CUST_00012,occasional,10589.23,6,6,0,0.55,0
CUST_00013,reliable,28478.16,12,12,0,0.75,0
CUST_00014,reliable,6674.49,4,4,0,0.75,0
CUST_00015,price_sensitive,5635.38,8,7,1,0.6,0
CUST_00016,occasional,3157.78,3,3,0,0.55,0
CUST_00017,reliable,21891.08,9,9,0,0.75,0
CUST_00018,price_sensitive,5931.56,4,4,0,0.6,0
CUST_00019,unresponsive,3719.27,2,2,0,0.25,0
CUST_00020,reliable,6248.53,6,5,1,0.75,0
CUST_00021,unresponsive,6143.9,6,6,0,0.25,0
CUST_00022,price_sensitive,8564.7,6,6,0,0.6,0
CUST_00023,occasional,2922.38,2,2,0,0.55,0
CUST_00024,reliable,13776.57,11,11,0,0.75,0
CUST_00025,frequent_failure,5711.76,10,6,4,0.35,0
CUST_00026,occasional,3137.73,4,2,2,0.55,0
CUST_00027,reliable,27310.09,13,12,1,0.75,0
CUST_00028,reliable,30992.91,17,17,0,0.75,0
CUST_00029,unresponsive,3749.01,2,2,0,0.25,0
CUST_00030,price_sensitive,656.5,1,1,0,0.6,0
CUST_00031,unresponsive,7666.84,4,3,1,0.25,0
CUST_00032,high_value,87651.21,8,8,0,0.8,0
CUST_00033,occasional,10089.54,5,5,0,0.55,0
CUST_00034,frequent_failure,11452.95,10,8,2,0.35,0
CUST_00035,occasional,1316.91,1,1,0,0.55,0
CUST_00036,price_sensitive,4844.4,3,3,0,0.6,0
CUST_00037,unresponsive,4870.21,3,3,0,0.25,0
CUST_00038,price_sensitive,3491.4,3,2,1,0.6,0
CUST_00039,unresponsive,0.0,1,0,1,0.25,0
CUST_00040,price_sensitive,10165.04,7,7,0,0.6,0
CUST_00041,high_value,14219.54,2,2,0,0.8,0
CUST_00042,reliable,7890.75,6,5,1,0.75,0
CUST_00043,reliable,19397.26,13,12,1,0.75,0
CUST_00044,reliable,15341.84,8,8,0,0.75,0
CUST_00045,reliable,10313.9,12,12,0,0.75,0
CUST_00046,reliable,15580.17,6,6,0,0.75,0
CUST_00047,reliable,3445.09,5,3,2,0.75,0
CUST_00048,reliable,11666.41,10,10,0,0.75,0
CUST_00049,price_sensitive,1449.56,1,1,0,0.6,0
CUST_00050,occasional,6679.21,7,4,3,0.55,0
CUST_00051,occasional,5634.31,4,4,0,0.55,0
CUST_00052,reliable,20240.99,10,10,0,0.75,0
CUST_00053,reliable,17821.53,8,8,0,0.75,0
CUST_00054,frequent_failure,10012.56,10,9,1,0.35,0
CUST_00055,price_sensitive,2351.6,5,2,3,0.6,0
CUST_00056,price_sensitive,2353.3,3,2,1,0.6,0
CUST_00057,reliable,27293.58,14,14,0,0.75,0
CUST_00058,high_value,48772.7,9,8,1,0.8,0
CUST_00059,reliable,4084.43,4,4,0,0.75,0
CUST_00060,occasional,11433.11,9,6,3,0.55,0
CUST_00061,frequent_failure,9934.01,8,7,1,0.35,0
CUST_00062,price_sensitive,4207.67,5,5,0,0.6,0
CUST_00063,price_sensitive,1070.57,1,1,0,0.6,0
CUST_00064,price_sensitive,2445.93,4,3,1,0.6,0
CUST_00065,unresponsive,7382.67,4,4,0,0.25,0
CUST_00066,high_value,44601.63,6,5,1,0.8,0
CUST_00067,reliable,6462.59,6,6,0,0.75,0
CUST_00068,reliable,7566.23,4,4,0,0.75,0
CUST_00069,occasional,9665.47,6,5,1,0.55,0
CUST_00070,reliable,18382.59,9,9,0,0.75,0
CUST_00071,reliable,2695.03,4,4,0,0.75,0
CUST_00072,frequent_failure,4567.53,8,3,5,0.35,0
CUST_00073,unresponsive,6847.61,4,4,0,0.25,0
CUST_00074,occasional,1322.0,3,3,0,0.55,0
CUST_00075,price_sensitive,2803.38,3,3,0,0.6,0
CUST_00076,occasional,11662.62,9,7,2,0.55,0
CUST_00077,frequent_failure,3424.58,6,3,3,0.35,0
CUST_00078,occasional,6243.02,6,5,1,0.55,0
CUST_00079,reliable,20617.71,11,11,0,0.75,0
CUST_00080,reliable,16448.17,9,8,1,0.75,0
CUST_00081,price_sensitive,3077.35,4,3,1,0.6,0
CUST_00082,reliable,12236.01,9,9,0,0.75,0
CUST_00083,price_sensitive,5221.09,6,5,1,0.6,0
CUST_00084,unresponsive,11331.36,8,7,1,0.25,0
CUST_00085,occasional,7097.52,7,5,2,0.55,0
CUST_00086,reliable,11461.93,5,5,0,0.75,0
CUST_00087,frequent_failure,9084.86,8,7,1,0.35,0
CUST_00088,occasional,3753.2,5,4,1,0.55,0
CUST_00089,reliable,10134.99,7,7,0,0.75,0
CUST_00090,reliable,12620.56,6,6,0,0.75,0
CUST_00091,reliable,11702.17,9,9,0,0.75,0
CUST_00092,price_sensitive,1581.87,1,1,0,0.6,0
CUST_00093,high_value,19549.57,3,3,0,0.8,0
CUST_00094,occasional,3142.56,3,2,1,0.55,0
CUST_00095,reliable,13627.32,7,7,0,0.75,0
CUST_00096,occasional,5772.66,6,6,0,0.55,0
CUST_00097,frequent_failure,4763.57,9,4,5,0.35,0
CUST_00098,occasional,1871.12,1,1,0,0.55,0
CUST_00099,frequent_failure,5392.68,7,7,0,0.35,0
CUST_00100,unresponsive,7282.98,4,4,0,0.25,0
CUST_00101,reliable,16433.94,10,10,0,0.75,0
CUST_00102,high_value,47233.78,6,6,0,0.8,0
CUST_00103,price_sensitive,4708.5,5,5,0,0.6,0
CUST_00104,occasional,5770.81,5,4,1,0.55,0
CUST_00105,reliable,10856.64,10,9,1,0.75,0
CUST_00106,price_sensitive,5188.91,9,5,4,0.6,0
