payment_code,customer_code,amount,payment_method,failure_reason,status,created_at
PAY_000001,CUST_02765,461.41,WALLET,AUTHENTICATION_FAILED,FAILED,2026-07-29 00:43:40.762408
PAY_000002,CUST_03567,1060.96,CARD,,SUCCESS,2026-07-30 01:14:40.763192
PAY_000003,CUST_02585,775.66,NETBANKING,INSUFFICIENT_FUNDS,FAILED,2026-08-26 17:09:40.763820
PAY_000004,CUST_02176,442.47,WALLET,BANK_TIMEOUT,FAILED,2026-08-17 08:25:40.764389
PAY_000005,CUST_00028,1874.75,WALLET,,SUCCESS,2026-08-07 22:38:40.764959
PAY_000006,CUST_02192,1800.71,NETBANKING,AUTHENTICATION_FAILED,FAILED,2026-07-28 18:33:40.765477
PAY_000007,CUST_03407,2485.16,CARD,,SUCCESS,2026-08-13 23:16:40.766029
PAY_000008,CUST_02736,1769.56,UPI,,SUCCESS,2026-08-12 18:42:40.766545
PAY_000009,CUST_01082,2177.91,NETBANKING,,SUCCESS,2026-08-26 12:11:40.767110
PAY_000010,CUST_00246,2781.37,NETBANKING,,SUCCESS,2026-08-11 06:01:40.767625
PAY_000011,CUST_02609,713.26,UPI,,SUCCESS,2026-08-18 19:02:40.768175
PAY_000012,CUST_04507,1598.41,NETBANKING,,SUCCESS,2026-08-04 23:34:40.768689
PAY_000013,CUST_01553,593.7,UPI,,SUCCESS,2026-07-28 09:39:40.769254
PAY_000014,CUST_03449,5536.64,CARD,,SUCCESS,2026-07-29 05:48:40.769772
PAY_000015,CUST_02836,1486.65,NETBANKING,,SUCCESS,2026-08-05 17:44:40.770348
PAY_000016,CUST_04455,1843.4,WALLET,,SUCCESS,2026-08-24 05:41:40.770885
PAY_000017,CUST_02241,454.1,NETBANKING,,SUCCESS,2026-08-01 01:48:40.771423
PAY_000018,CUST_00366,1420.35,NETBANKING,,SUCCESS,2026-08-01 12:28:40.772784
PAY_000019,CUST_01402,1048.44,CARD,,SUCCESS,2026-07-31 12:12:40.773739
PAY_000020,CUST_00072,1159.23,NETBANKING,,SUCCESS,2026-08-23 18:33:40.774691
PAY_000021,CUST_03056,100.0,NETBANKING,,SUCCESS,2026-08-25 08:50:40.775292
PAY_000022,CUST_01333,994.1,WALLET,,SUCCESS,2026-07-29 06:33:40.775868
PAY_000023,CUST_01651,1149.81,CARD,,SUCCESS,2026-07-31 19:13:40.776442
PAY_000024,CUST_01942,6001.18,CARD,,SUCCESS,2026-07-30 16:46:40.777025
PAY_000025,CUST_00614,1732.66,NETBANKING,BANK_DECLINED,FAILED,2026-08-25 08:20:40.777598
PAY_000026,CUST_00601,2688.4,UPI,,SUCCESS,2026-08-04 03:58:40.778183
PAY_000027,CUST_00002,2349.17,NETBANKING,,SUCCESS,2026-08-06 05:16:40.778757
PAY_000028,CUST_02863,258.41,NETBANKING,,SUCCESS,2026-08-16 22:48:40.779334
PAY_000029,CUST_02705,1161.29,CARD,,SUCCESS,2026-08-21 16:17:40.779917
PAY_000030,CUST_02193,980.94,UPI,,SUCCESS,2026-08-17 14:08:40.780487
PAY_000031,CUST_03915,542.16,WALLET,,SUCCESS,2026-08-03 18:12:40.781065
PAY_000032,CUST_03280,1183.87,WALLET,AUTHENTICATION_FAILED,FAILED,2026-08-19 18:35:40.781637
PAY_000033,CUST_04844,7170.7,WALLET,,SUCCESS,2026-08-02 22:56:40.782218
PAY_000034,CUST_03697,1803.31,NETBANKING,,SUCCESS,2026-08-20 06:22:40.782792
PAY_000035,CUST_03809,1203.23,UPI,,SUCCESS,2026-08-03 07:06:40.783368
PAY_000036,CUST_04495,2055.42,CARD,,SUCCESS,2026-08-17 10:45:40.783947
PAY_000037,CUST_04427,803.33,WALLET,,SUCCESS,2026-08-09 03:32:40.784518
PAY_000038,CUST_00988,1373.43,UPI,,SUCCESS,2026-08-26 14:23:40.785092
PAY_000039,CUST_00301,100.0,UPI,AUTHENTICATION_FAILED,FAILED,2026-08-22 19:46:40.785695
PAY_000040,CUST_04089,463.97,UPI,,SUCCESS,2026-08-22 02:16:40.786268
PAY_000041,CUST_03861,1301.81,NETBANKING,,SUCCESS,2026-08-25 18:19:40.786857
PAY_000042,CUST_01502,1264.25,NETBANKING,,SUCCESS,2026-07-28 17:05:40.787487
PAY_000043,CUST_04852,1830.36,NETBANKING,,SUCCESS,2026-08-17 15:49:40.788784
PAY_000044,CUST_03188,1119.58,NETBANKING,,SUCCESS,2026-08-02 13:29:40.790018
PAY_000045,CUST_04989,937.48,WALLET,,SUCCESS,2026-08-21 10:22:40.790923
PAY_000046,CUST_02673,6769.19,CARD,,SUCCESS,2026-08-14 07:59:40.791459
PAY_000047,CUST_03011,1607.52,UPI,,SUCCESS,2026-08-17 09:14:40.791986
PAY_000048,CUST_00449,923.61,NETBANKING,,SUCCESS,2026-08-14 10:49:40.792502
PAY_000049,CUST_02781,781.3,NETBANKING,AUTHENTICATION_FAILED,FAILED,2026-08-15 15:28:40.793029
PAY_000050,CUST_03432,1051.32,NETBANKING,AUTHENTICATION_FAILED,FAILED,2026-08-11 08:53:40.793544
PAY_000051,CUST_03937,1600.21,UPI,,SUCCESS,2026-08-20 20:48:40.794165
PAY_000052,CUST_03660,1158.15,UPI,BANK_TIMEOUT,FAILED,2026-08-09 07:53:40.794762
PAY_000053,CUST_02939,656.64,WALLET,NETWORK_ERROR,FAILED,2026-08-18 15:23:40.795296
PAY_000054,CUST_00034,902.69,WALLET,,SUCCESS,2026-07-29 17:42:40.795814
PAY_000055,CUST_02467,100.0,NETBANKING,,SUCCESS,2026-08-17 18:27:40.796336
PAY_000056,CUST_03297,976.21,UPI,,SUCCESS,2026-08-05 14:13:40.796854
PAY_000057,CUST_02904,1030.1,UPI,,SUCCESS,2026-08-05 11:24:40.797369
PAY_000058,CUST_02689,848.48,NETBANKING,NETWORK_ERROR,FAILED,2026-08-05 08:55:40.797895
PAY_000059,CUST_03495,1620.2,CARD,,SUCCESS,2026-08-20 05:54:40.798405
PAY_000060,CUST_02838,1744.52,NETBANKING,,SUCCESS,2026-08-10 05:53:40.798926
PAY_000061,CUST_01762,460.21,NETBANKING,,SUCCESS,2026-08-12 00:09:40.799437
PAY_000062,CUST_03350,440.78,UPI,,SUCCESS,2026-08-23 19:29:40.800073
PAY_000063,CUST_00603,985.46,NETBANKING,,SUCCESS,2026-08-05 00:04:40.800620
PAY_000064,CUST_00184,1951.47,CARD,,SUCCESS,2026-08-13 22:34:40.801191
PAY_000065,CUST_04026,1358.32,CARD,,SUCCESS,2026-08-03 16:04:40.801824
PAY_000066,CUST_02908,735.11,UPI,BANK_DECLINED,FAILED,2026-08-01 11:25:40.802361
PAY_000067,CUST_03716,385.79,NETBANKING,,SUCCESS,2026-08-02 12:58:40.802886
PAY_000068,CUST_03628,1685.87,WALLET,,SUCCESS,2026-08-15 22:17:40.803412
PAY_000069,CUST_04069,6928.45,CARD,,SUCCESS,2026-08-04 20:00:40.804089
PAY_000070,CUST_04600,2354.82,NETBANKING,,SUCCESS,2026-08-17 07:25:40.804752
PAY_000071,CUST_04956,819.5,WALLET,,SUCCESS,2026-08-06 23:21:40.805612
PAY_000072,CUST_02334,1214.01,NETBANKING,,SUCCESS,2026-08-02 00:06:40.806188
PAY_000073,CUST_00864,895.58,CARD,,SUCCESS,2026-08-23 05:48:40.806716
PAY_000074,CUST_02948,6913.73,WALLET,,SUCCESS,2026-08-21 14:00:40.807244
PAY_000075,CUST_02111,1334.67,WALLET,,SUCCESS,2026-08-11 23:29:40.807761
PAY_000076,CUST_04918,100.0,WALLET,,SUCCESS,2026-08-18 18:27:40.808354
PAY_000077,CUST_04004,608.51,WALLET,,SUCCESS,2026-08-23 14:51:40.808974
PAY_000078,CUST_04228,685.25,WALLET,,SUCCESS,2026-08-11 21:15:40.809503
PAY_000079,CUST_02817,384.28,UPI,,SUCCESS,2026-08-22 15:59:40.810023
PAY_000080,CUST_02614,1018.44,CARD,,SUCCESS,2026-07-31 08:31:40.810542
PAY_000081,CUST_04799,972.94,UPI,,SUCCESS,2026-08-20 02:37:40.811066
PAY_000082,CUST_01601,1015.31,WALLET,,SUCCESS,2026-08-02 14:36:40.811585
PAY_000083,CUST_01949,1039.24,WALLET,,SUCCESS,2026-08-17 21:09:40.812110
PAY_000084,CUST_00644,1427.2,NETBANKING,,SUCCESS,2026-08-13 03:29:40.812628
PAY_000085,CUST_03412,2075.17,NETBANKING,,SUCCESS,2026-08-07 00:02:40.813149
PAY_000086,CUST_02945,1185.32,NETBANKING,,SUCCESS,2026-08-22 17:21:40.813661
PAY_000087,CUST_01712,5975.38,WALLET,,SUCCESS,2026-08-20 23:33:40.814187
PAY_000088,CUST_03453,100.0,UPI,,SUCCESS,2026-08-09 23:35:40.814702
PAY_000089,CUST_01662,2023.97,UPI,,SUCCESS,2026-08-26 17:57:40.815273
PAY_000090,CUST_04333,1588.57,NETBANKING,,SUCCESS,2026-08-21 19:03:40.815878
PAY_000091,CUST_00227,1273.26,UPI,,SUCCESS,2026-08-16 01:56:40.816406
PAY_000092,CUST_04495,1764.36,WALLET,,SUCCESS,2026-07-29 07:58:40.816927
PAY_000093,CUST_04259,535.0,WALLET,NETWORK_ERROR,FAILED,2026-08-09 10:06:40.817442
PAY_000094,CUST_04917,5960.75,CARD,,SUCCESS,2026-08-18 21:28:40.817963
PAY_000095,CUST_02376,880.98,CARD,,SUCCESS,2026-08-01 12:12:40.818472
PAY_000096,CUST_02529,2545.68,NETBANKING,,SUCCESS,2026-08-07 19:09:40.819080
PAY_000097,CUST_01818,637.1,CARD,INSUFFICIENT_FUNDS,FAILED,2026-08-26 06:12:40.819600
PAY_000098,CUST_00226,1549.34,UPI,INSUFFICIENT_FUNDS,FAILED,2026-08-04 15:16:40.820130
PAY_000099,CUST_01035,1842.2,CARD,,SUCCESS,2026-08-22 22:24:40.820638
PAY_000100,CUST_00790,647.22,WALLET,,SUCCESS,2026-08-06 00:46:40.821160
PAY_000101,CUST_01719,8827.33,WALLET,,SUCCESS,2026-07-29 10:07:40.821709
PAY_000102,CUST_03725,1343.52,WALLET,,SUCCESS,2026-08-01 15:53:40.822419
PAY_000103,CUST_00403,1825.32,WALLET,,SUCCESS,2026-08-10 14:47:40.823041
PAY_000104,CUST_03571,686.3,WALLET,AUTHENTICATION_FAILED,FAILED,2026-08-26 10:46:40.823655
PAY_000105,CUST_04794,1593.11,CARD,,SUCCESS,2026-08-03 22:51:40.824193
PAY_000106,CUST_03768,678.35,NETBANKING,,SUCCESS,2026-08-25 06:20:40.824711
PAY_000107,CUST_00565,1270.66,WALLET,,SUCCESS,2026-08-10 00:17:40.825237
PAY_000108,CUST_02705,777.42,WALLET,BANK_TIMEOUT,FAILED,2026-08-20 07:41:40.825746
PAY_000109,CUST_01742,1707.31,NETBANKING,,SUCCESS,2026-08-05 15:02:40.826272
PAY_000110,CUST_03453,727.11,UPI,,SUCCESS,2026-08-15 15:01:40.826785
PAY_000111,CUST_00961,1205.65,UPI,,SUCCESS,2026-07-28 22:43:40.827304
PAY_000112,CUST_00625,1759.21,NETBANKING,,SUCCESS,2026-07-29 21:16:40.827822
PAY_000113,CUST_01360,1593.37,NETBANKING,AUTHENTICATION_FAILED,FAILED,2026-08-26 07:06:40.828342
PAY_000114,CUST_01799,1568.03,WALLET,,SUCCESS,2026-07-31 15:57:40.828864
PAY_000115,CUST_04729,2050.06,WALLET,,SUCCESS,2026-08-10 17:24:40.829431
PAY_000116,CUST_03380,897.74,NETBANKING,,SUCCESS,2026-08-13 14:59:40.830062
PAY_000117,CUST_02472,952.08,NETBANKING,,SUCCESS,2026-08-01 03:09:40.830588
PAY_000118,CUST_02756,2239.39,WALLET,,SUCCESS,2026-07-31 11:23:40.831107
PAY_000119,CUST_03237,692.02,UPI,,SUCCESS,2026-07-27 22:00:40.831618
PAY_000120,CUST_02644,2062.31,UPI,,SUCCESS,2026-08-13 17:36:40.832146
PAY_000121,CUST_01497,1663.64,CARD,,SUCCESS,2026-08-03 18:38:40.832664
PAY_000122,CUST_00332,1959.7,NETBANKING,,SUCCESS,2026-08-15 07:34:40.833190
PAY_000123,CUST_02649,2096.33,NETBANKING,,SUCCESS,2026-08-14 06:16:40.833706
PAY_000124,CUST_00501,1285.42,UPI,,SUCCESS,2026-08-21 17:02:40.834365
PAY_000125,CUST_04355,2168.1,CARD,,SUCCESS,2026-07-27 18:54:40.834895
PAY_000126,CUST_00728,2461.88,CARD,,SUCCESS,2026-08-14 21:31:40.835408
PAY_000127,CUST_00059,363.46,CARD,,SUCCESS,2026-08-04 17:13:40.835923
PAY_000128,CUST_03545,1655.24,UPI,,SUCCESS,2026-08-11 04:24:40.836501
PAY_000129,CUST_01694,1328.4,CARD,,SUCCESS,2026-07-30 16:23:40.837114
PAY_000130,CUST_02071,1672.46,CARD,,SUCCESS,2026-08-04 05:10:40.837634
PAY_000131,CUST_03468,2511.55,WALLET,,SUCCESS,2026-08-09 08:21:40.838156
PAY_000132,CUST_00939,107.18,WALLET,,SUCCESS,2026-07-28 18:28:40.838928
PAY_000133,CUST_00824,1720.42,NETBANKING,BANK_TIMEOUT,FAILED,2026-07-28 13:21:40.839485
PAY_000134,CUST_03541,749.88,UPI,BANK_TIMEOUT,FAILED,2026-08-19 03:49:40.840016
PAY_000135,CUST_01175,2365.73,WALLET,,SUCCESS,2026-08-13 01:42:40.840527
PAY_000136,CUST_00941,1519.15,CARD,,SUCCESS,2026-08-09 12:02:40.841045
PAY_000137,CUST_02173,1744.8,WALLET,,SUCCESS,2026-08-05 04:30:40.841559
PAY_000138,CUST_02095,1506.22,WALLET,,SUCCESS,2026-08-26 05:55:40.842073
PAY_000139,CUST_03881,1200.8,WALLET,,SUCCESS,2026-08-09 09:37:40.842579
PAY_000140,CUST_01914,1877.94,UPI,,SUCCESS,2026-08-22 08:32:40.843131
PAY_000141,CUST_02889,6823.47,NETBANKING,,SUCCESS,2026-08-07 03:15:40.843685
PAY_000142,CUST_01895,1840.72,NETBANKING,,SUCCESS,2026-08-11 13:00:40.844281
PAY_000143,CUST_01456,779.91,UPI,BANK_DECLINED,FAILED,2026-07-28 00:09:40.844804
PAY_000144,CUST_04632,1870.63,WALLET,,SUCCESS,2026-08-15 18:46:40.845675
PAY_000145,CUST_04043,1206.57,CARD,,SUCCESS,2026-08-03 02:57:40.846242
PAY_000146,CUST_03987,1549.58,CARD,,SUCCESS,2026-08-12 12:42:40.846776
PAY_000147,CUST_04736,1382.72,UPI,,SUCCESS,2026-08-23 16:39:40.847321
PAY_000148,CUST_02940,360.09,UPI,AUTHENTICATION_FAILED,FAILED,2026-08-22 01:23:40.847859
PAY_000149,CUST_04651,680.43,NETBANKING,,SUCCESS,2026-08-16 19:13:40.848437
PAY_000150,CUST_04828,1172.52,NETBANKING,,SUCCESS,2026-08-17 23:59:40.849022
PAY_000151,CUST_00844,814.86,UPI,BANK_TIMEOUT,FAILED,2026-07-30 17:55:40.849540
PAY_000152,CUST_00948,2064.44,CARD,,SUCCESS,2026-07-30 12:11:40.850169
PAY_000153,CUST_01147,4736.52,UPI,,SUCCESS,2026-08-22 20:31:40.850732
PAY_000154,CUST_03814,1511.85,CARD,,SUCCESS,2026-08-09 16:14:40.851306
PAY_000155,CUST_04859,8143.06,CARD,,SUCCESS,2026-08-21 17:48:40.851822
PAY_000156,CUST_02798,853.5,NETBANKING,,SUCCESS,2026-08-13 09:08:40.852346
PAY_000157,CUST_01693,1888.97,UPI,,SUCCESS,2026-07-28 17:09:40.852866
PAY_000158,CUST_00779,1383.56,NETBANKING,,SUCCESS,2026-08-07 08:30:40.853380
PAY_000159,CUST_04594,774.18,NETBANKING,,SUCCESS,2026-08-15 01:48:40.853899
PAY_000160,CUST_00121,6055.6,UPI,,SUCCESS,2026-08-14 04:00:40.854415
PAY_000161,CUST_03904,1921.49,WALLET,,SUCCESS,2026-08-09 02:26:40.854961
PAY_000162,CUST_01673,7982.49,UPI,,SUCCESS,2026-08-15 00:49:40.855690
